nome,papel,slug,arquivo_esperado,arquivo_encontrado,na_pasta,autorizacao
Alan Barros de Oliveira,Docente permanente,alan-barros-de-oliveira,alan-barros-de-oliveira.<jpg|jpeg|png|webp|gif|avif>,alan-barros-de-oliveira.jpg,sim,
Américo Tristão Bernardes,Docente permanente,americo-tristao-bernardes,americo-tristao-bernardes.<jpg|jpeg|png|webp|gif|avif>,americo-tristao-bernardes.jpg,sim,
Ana Paula Moreira Barboza,Docente permanente,ana-paula-moreira-barboza,ana-paula-moreira-barboza.<jpg|jpeg|png|webp|gif|avif>,ana-paula-moreira-barboza.jpg,sim,
Antônio Valadão Cardoso,Docente colaborador,antonio-valadao-cardoso,antonio-valadao-cardoso.<jpg|jpeg|png|webp|gif|avif>,,nao,
Claudio Gouvea dos Santos,Docente permanente,claudio-gouvea-dos-santos,claudio-gouvea-dos-santos.<jpg|jpeg|png|webp|gif|avif>,,nao,
Dalila Chaves Sicupira,Docente permanente,dalila-chaves-sicupira,dalila-chaves-sicupira.<jpg|jpeg|png|webp|gif|avif>,dalila-chaves-sicupira.jpg,sim,
Eliane Ayres,Docente permanente,eliane-ayres,eliane-ayres.<jpg|jpeg|png|webp|gif|avif>,,nao,
Fernando Gabriel da Silva Araújo,Docente permanente,fernando-gabriel-da-silva-araujo,fernando-gabriel-da-silva-araujo.<jpg|jpeg|png|webp|gif|avif>,,nao,
Geraldo Lúcio de Faria,Docente permanente,geraldo-lucio-de-faria,geraldo-lucio-de-faria.<jpg|jpeg|png|webp|gif|avif>,,nao,
Heloisa Nazaré dos Santos,Docente colaborador,heloisa-nazare-dos-santos,heloisa-nazare-dos-santos.<jpg|jpeg|png|webp|gif|avif>,,nao,
Hugo Bonette de Carvalho,Docente permanente,hugo-bonette-de-carvalho,hugo-bonette-de-carvalho.<jpg|jpeg|png|webp|gif|avif>,,nao,
Ive Silvestre de Almeida,Docente colaborador,ive-silvestre-de-almeida,ive-silvestre-de-almeida.<jpg|jpeg|png|webp|gif|avif>,ive-silvestre-de-almeida.jpg,sim,
Johne Jesus Mol Peixoto,Docente permanente,johne-jesus-mol-peixoto,johne-jesus-mol-peixoto.<jpg|jpeg|png|webp|gif|avif>,,nao,
Leonardo Barbosa Godefroid,Docente permanente,leonardo-barbosa-godefroid,leonardo-barbosa-godefroid.<jpg|jpeg|png|webp|gif|avif>,,nao,
Marcelo Gomes Speziali,Docente permanente,marcelo-gomes-speziali,marcelo-gomes-speziali.<jpg|jpeg|png|webp|gif|avif>,,nao,
Matheus Josué de Souza Matos,Docente permanente,matheus-josue-de-souza-matos,matheus-josue-de-souza-matos.<jpg|jpeg|png|webp|gif|avif>,matheus-josue-de-souza-matos.jpg,sim,
Paulo Santos Assis,Docente permanente,paulo-santos-assis,paulo-santos-assis.<jpg|jpeg|png|webp|gif|avif>,,nao,
Rita de Castro Engler,Docente permanente,rita-de-castro-engler,rita-de-castro-engler.<jpg|jpeg|png|webp|gif|avif>,,nao,
Rodrigo Fernando Bianchi,Docente permanente,rodrigo-fernando-bianchi,rodrigo-fernando-bianchi.<jpg|jpeg|png|webp|gif|avif>,,nao,
Rodrigo Rangel Porcaro,Docente permanente,rodrigo-rangel-porcaro,rodrigo-rangel-porcaro.<jpg|jpeg|png|webp|gif|avif>,,nao,
Taíse Matte Manhabosco,Docente permanente,taise-matte-manhabosco,taise-matte-manhabosco.<jpg|jpeg|png|webp|gif|avif>,taise-matte-manhabosco.jpg,sim,
Thiago Cazati,Docente permanente,thiago-cazati,thiago-cazati.<jpg|jpeg|png|webp|gif|avif>,,nao,
Versiane Albis Leão,Docente permanente,versiane-albis-leao,versiane-albis-leao.<jpg|jpeg|png|webp|gif|avif>,,nao,
Víctor de Andrade Alvarenga Oliveira,Docente permanente,victor-de-andrade-alvarenga-oliveira,victor-de-andrade-alvarenga-oliveira.<jpg|jpeg|png|webp|gif|avif>,,nao,
Adarlêne Moreira Silva,Pós-doutorando,adarlene-moreira-silva,adarlene-moreira-silva.<jpg|jpeg|png|webp|gif|avif>,,nao,
Gustavo Henrique Silvestre,Pós-doutorando,gustavo-henrique-silvestre,gustavo-henrique-silvestre.<jpg|jpeg|png|webp|gif|avif>,gustavo-henrique-silvestre.jpg,sim,
Leonardo Villegas Lelovsky,Pós-doutorando,leonardo-villegas-lelovsky,leonardo-villegas-lelovsky.<jpg|jpeg|png|webp|gif|avif>,leonardo-villegas-lelovsky.jpg,sim,
Rodrigo Cesário Lourenço,Secretário da REDEMAT,rodrigo-cesario-lourenco,rodrigo-cesario-lourenco.<jpg|jpeg|png|webp|gif|avif>,rodrigo-cesario-lourenco.jpg,sim,
