nome_publicado,lattes_id,situacao,entrada,saida,grafia_conferir
Adilson Rodrigues da Costa,6267061426216241,passou,1996-09-06,2022-01-03,
Alan Barros de Oliveira,2373454332205980,no quadro,2014-01-01,,
Américo Tristão Bernardes,1219153096910234,no quadro,2000-01-01,,
Ana Paula Moreira Barboza,4012812193989993,no quadro,2019-01-10,,
Antonio Maria Claret de Gouveia,0919004072594619,passou,2012-01-01,2021-06-02,
Antônio Valadão Cardoso,4629729793297288,no quadro,1996-09-06,,
Carlos Antonio da Silva,9071139796908984,passou,1996-09-06,,
Claudio Gouvea dos Santos,7624637352404779,no quadro,1996-09-06,,
Cláudio Batista Vieira,6864214843044820,no quadro,2011-01-01,,
Dalila Chaves Sicupira,2402619959878318,no quadro,2019-02-04,,
Denise Crocce Romano Espinosa,5363949257736410,passou,2000-02-01,2021-12-31,
Eliane Ayres,1370798140664840,no quadro,2012-10-01,,
Fernando Gabriel da Silva Araújo,8915679278888857,no quadro,1996-09-06,,
Fernando Soares Lameiras,1775441236942704,passou,1999-02-01,2021-12-31,
Geraldo Lúcio de Faria,0954824992144106,no quadro,2013-07-01,,
Gilberto Henrique Tavares Álvares da Silva,3715416536248469,no quadro,2017-12-14,,
Heloisa Nazaré dos Santos,7238982117122755,no quadro,2021-03-01,,
Hugo Bonette de Carvalho,1642083834158700,no quadro,2016-01-04,,
Johne Jesus Mol Peixoto,7172124269609011,no quadro,2020-02-03,,
Kátia Monteiro Novack,1693319153878178,no quadro,1999-02-01,,
Leonardo Barbosa Godefroid,1995142616892313,no quadro,1996-09-06,,
Luiz Cláudio Cândido,3404921714552476,no quadro,1998-01-01,,
Marcelo Gomes Speziali,7307092459450276,no quadro,2019-02-01,,
Matheus Josué de Souza Matos,6221953730638193,no quadro,2019-01-10,,
Milton Sergio Fernandes de Lima,2656804839083572,passou,2007-02-01,2021-12-31,
Nelcy Della Santina Mohallem,4301721255586074,no quadro,2004-02-01,,
Paulo Santos Assis,7360474381329605,no quadro,1996-09-06,,
Rita de Castro Engler,1848076566428564,no quadro,2022-01-18,,
Rodrigo Fernando Bianchi,0576192110271130,no quadro,2006-02-01,,
Rodrigo Rangel Porcaro,3405298711596512,no quadro,2020-01-01,,
Rosa Maria Rabelo Junqueira,6863995673467942,no quadro,2011-01-01,,
Sebastiana Luiza Bragança Lana,0048231057293415,passou,1996-09-06,2022-02-02,
Taíse Matte Manhabosco,9945942332231660,no quadro,2010-02-01,,
Thiago Cazati,0873693558323059,no quadro,2019-01-01,,
Vagner Roberto Botaro,2907189124654066,no quadro,1998-02-01,,
Versiane Albis Leão,4062848906639188,no quadro,1996-09-06,,
Víctor de Andrade Alvarenga Oliveira,9004123547060623,no quadro,2020-02-03,,
Waldemar Augusto de Almeida Macedo,7877747460307517,passou,1998-02-01,2021-12-31,
Anderson Dias,,passou,2008-01-02,2016-02-24,sim
Andre Barros Cota,,passou,1998-08-03,,sim
Antonio Claret Soares Sabioni,,passou,1996-09-01,,sim
Genivaldo Julio Perpetuo,,passou,1999-07-01,,sim
Ive Silvestre de Almeida,8756368667136851,no quadro,2025-03-01,,
Jairo Jose Drummond Camara,,passou,1996-09-06,2019-02-25,sim
Jorge Alberto Soares Tenorio,,passou,1997-02-01,2014-12-31,sim
Jose Roberto Tavares Branco,,passou,1998-01-02,2015-12-31,sim
Margareth Spangler Andrade,,passou,1996-09-06,,sim
Patricia Alejandra Robles Dutenhefner,,passou,2008-02-01,2014-11-28,sim
