lattes,nome_lattes,chars,resumo
0576192110271130,Rodrigo Fernando Bianchi,2282,"Graduado em Física pela Universidade de São Paulo - USP (1995); mestre (1997) e doutor (2002) em Ciência e Engenharia de Materiais pela USP; doutorado sanduíche no Department of Chemistry da University of North Carolina - Chapel Hill (EUA, 2000); pós-doutorado no Instituto de Física de São Carlos - USP (2002-2006) e pesquisador visitante do Department of Electrical Engineering and Computer Sciences da Universidade da California - Berkeley (EUA, 2011-2013). Foi docente do Departamento de Engenharia de Sistemas Eletrônicos da Escola Politécnica da USP (2004-2006), membro da Câmara de Ciências Exatas e Materiais da Fapemig (2011-2012), Coordenador do Núcleo de Inovação Tecnológica e Empreendedorismo da UFOP (2013-2014), Coordenador da Incubadora Cultural e Tecnológica da UFOP (2013-2014), Pró-reitor de Planejamento e Desenvolvimento da UFOP (2014-2017 e 2025), Docente do Programa de Doutorado em Física da UFV (2009-2019), Diretor Científico da Sociedade Brasileira de Pesquisa em Materiais - SBPMat (2014-2018), Membro do Comitê Gestor do Instituto Nacional de Eletrônica Orgânica - INEO/CNPq (2010-2022) e Vice-Diretor do Instituto de Ciências Exatas e Biológicas da UFOP (2017-2021). É Professor Titular do Departamento de Física da UFOP e Professor Permanente dos Programas de Pós-Graduacão em Engenharia de Materiais; de Ciências: de Física de Materiais; e de Empreendedorismo (Profissional) da UFOP. Possui 82 artigos,16 patentes depositadas, 02 cartas patente, 01 patente licenciada, diversos protótipos de dispositivos desenvolvidos, 03 livros, 05 capítulos de livros, 01 trabalho como fundo de cena de questões do ENADE (em 2008) e 02 do ENEM (em 2017 e 2025). Orientou 08 e coorientou 03 doutores; orientou 30 e coorientou 09 mestres; e orientou mais de 40 ICs e TCCs. Recebeu o prêmio Destaque Científico do ICEB-UFOP (2011), a Medalha H. Gorceix (2013), o Prêmio Mineiro de Inovação (Edição 2014) e mais de 30 prêmios científicos e de inovação tecnológica. É um dos idealizadores do Laboratório de Polímeros e de Propriedades Eletrônicas de Materiais (LAPPEM) e das statups Lifee e As31. Tem experiência em empreendedorismo e na área de Física de Materiais, atuando principalmente na pesquisa de dispositivos eletrônicos orgânicos. (Texto informado pelo autor)"
0873693558323059,Thiago Cazati,1635,"Graduado em Física pelo Instituto de Física de São Carlos (IFSC-USP), com mestrado e doutorado em Ciências e Engenharia de Materiais pela mesma instituição (USP). Realizou estágio de pós-doutorado na Universidade de Durham, no Reino Unido. Atualmente é Professor Titular (classe D) do Departamento de Física da Universidade Federal de Ouro Preto (UFOP), professor permanente do Programa de Pós-Graduação em Física dos Materiais (FIMAT) e do Programa de Pós-Graduação em Engenharia de Materiais (REDEMAT). Atuou como coordenador institucional dos Programas de Iniciação Científica da UFOP (2020 a 2021) e como Pró-Reitor Adjunto de Pesquisa, Pós-Graduação e Inovação da UFOP (2021 a 2023). Possui experiência na área de Física Experimental, com ênfase em Física da Matéria Condensada. Seus principais temas de atuação envolvem o estudo e a caracterização de propriedades optoeletrônicas de moléculas orgânicas semicondutoras, com foco na investigação de transições eletrônicas e fenômenos decorrentes de interações intermoleculares, por meio de técnicas espectroscópicas como absorção UV-Vis, fotoluminescência estacionária e resolvida no tempo. Outra linha de pesquisa concentra-se na caracterização fotofísica de moléculas orgânicas em sistemas doador-aceitador de cargas, voltada para aplicações em dispositivos eletrônicos orgânicos, especialmente células solares orgânicas (OPVs), visando a compreensão dos processos de fotogeração, dissociação e transporte de portadores de carga em semicondutores orgânicos. Coordena o Laboratório de Materiais Optoeletrônicos (LAMOe) da UFOP - https://lamoe.ufop.br/ (Texto informado pelo autor)"
0954824992144106,Geraldo Lúcio de Faria,1802,"Possui graduação em Física Aplicada a Ciência dos Materiais pela Universidade Federal de Ouro Preto (2006), Mestrado (2008) e Doutorado (2011) em Engenharia de Materiais pela Rede Temática em Engenharia de Materiais (UFOP-CETEC-UEMG). Atualmente é Professor Associado do Departamento de Engenharia Metalúrgica e de Materiais da Universidade Federal de Ouro Preto. Atua na instituição como Professor da Área de Metalurgia Física, sendo responsável pelas disciplinas de Tratamentos Térmicos dos Metais, Técnicas de Análise Estrutural, Ensaios Mecânicos e Tecnologia dos Materiais Metálicos. Tem experiência nas áreas de Física da Matéria Condensada, Engenharia de Materiais e Metalurgia Física. Atua principalmente na grande área da Metalurgia Física, com ênfase em Caracterização de Materiais e na interface entre Tratamentos Térmicos, Estrutura e Propriedades dos Metais. Desenvolve pesquisas na área de Cinética de Transformação de Fases em ligas Metálicas por meio da aplicação de ferramentas experimentais de Dilatometria. É membro do Grupo de Estudos Sobre Fratura de Materiais (GesFraM) desde 2012. É Professor do quadro de docentes permanentes do Programa de Pós-Graduação em Engenharia de Materiais da Rede Temática em Engenharia de Materiais (REDEMAT) desde 2013. É membro da Academia de Ciências de Ouro Preto desde 2015. É Docente Permanente do Programa de Pós-Graduação em Engenharia Mecânica (PROPEM) da Escola de Minas da UFOP desde 2019. É Subeditor da área de Metais da Revista Matéria desde 2021. É membro da Comissão Técnica de Fundamentos e Processos Metalúrgicos da Associação Brasileira de Metalurgia, Materiais e Mineração desde 2019. É membro da Comissão Técnica de Conformação da Associação Brasileira de Metalurgia, Materiais e Mineração desde 2022. (Texto informado pelo autor)"
1219153096910234,Américo Tristão Bernardes,1228,"graduado em Engenharia Elétrica pela Universidade Federal de Juiz de Fora (1977), mestrado em Física pela Universidade Federal do Rio Grande do Sul (1980) e doutorado em Física pela Universidade de São Paulo (1989). Realizou estágio de pós-doutorado na Universidade de Colônia, Alemanha, em 1995. Foi membro da Câmara de Ciências Exatas e Materiais da Fundação de Amparo à Pesquisa do Estado de Minas Gerais (2003-06), tendo sido seu coordenador entre 2005-06. Foi diretor do Departamento de Infraestrutura para Educação a Distância do Ministério da Educação entre 2003-04. Foi membro do Conselho de Administração da Rede Nacional de Ensino e Pesquisa entre 2003 e 2009 e Chefe do Centro de Capacitação do Inmetro entre 2007 e 2012. Foi diretor do Departamento para Inclusão Digital do Ministério da Ciência, Tecnologia, Inovações e Comunicações entre 2012-2019. É Professor Titular da Universidade Federal de Ouro Preto. Pesquisa em Mecânica Estatística, com ênfase em Sistemas Complexos, tendo como linhas: problemas biologicamente motivados, economia e sociologia; simulações em materiais não homogêneos (granulares, fibrosos). Foi presidente da Sociedade Brasileira de Metrologia entre 2018-2022 (Texto informado pelo autor)"
1370798140664840,Eliane Ayres,1668,"Bolsista de Produtividade CNPq em Desenvolvimento Tecnológico e Extensão Inovadora - DT - C. Graduada em Engenharia Química pela Universidade Federal do Rio de Janeiro (1979), mestrado (2002) e doutorado (2006) em Engenharia Metalúrgica e de Minas, pela Universidade Federal de Minas Gerais, área de concentração Ciência e Engenharia de Materiais. Possui experiência em indústria química onde atuou como pesquisadora em laboratório de PD na área de síntese de polímeros acrílicos (emulsão, solução e suspensão) e poliuretanos (1979-1990). Foi bolsista de desenvolvimento tecnológico e industrial (DTI) (2007-2008) no laboratório de polímeros e compósitos da UFMG. Desde 2009 é professora de ensino superior nível VII-E da Universidade do Estado de Minas Gerais (UEMG) no Departamento de Formação Tecnológica (DEFT) e professora permanente do Programa de Pós-Graduação strictu sensu em Design (PPGD) da UEMG. Foi membro da câmara de assessoramento de arquitetura e engenharias da FAPEMIG. Orienta pesquisas de mestrado doutorado na área de polímeros e compósitos com ênfase em aproveitamento de resíduos para aplicação em produtos inovadores . Orientou projeto ganhador do XXVI Prêmio Jovem Cientista e projeto contemplado com menção honrosa no prêmio MERCOSUL de Ciência e Tecnologia em 2015. É uma das inventoras da patente ganhadora do prêmio Patente do Ano, conferido pela Associação Brasileira da Propriedade Industrial (abpi) em 2022. É professora permanente e membro do colegiado da Pós-Graduação em Engenharia de Materiais da REDEMAT (Rede Temática em Engenharia de Materiais UFOP-UEMG). Orcid: https://orcid.org/0000-0001-8734-0056 (Texto informado pelo autor)"
1642083834158700,Hugo Bonette de Carvalho,1228,"Possuo bacharelado e licenciatura em física pela Universidade Estadual de Campinas (1999), mestrado em Física pela Universidade Estadual de Campinas (2002), doutorado em Física pela Universidade Estadual de Campinas (2006) e pós-doutorado no Instituto Paul Drude em Berlim, Alemanha. Atualmente estou professor Titular na Universidade Federal de Alfenas (UNIFAL). Tenho experiência na área de Física, com ênfase em Propriedades Eletricas, Magnéticas e Óticas da Matéria Condensada. Nosso foco de trabalho está relacionado a novos materiais e dispositivos. Mais especificamente trabalhamos com materiais óxidos semicondutores multifuncionais aplicados a diferentes áreas de interesse, como a spintrônica, catálise do hidrogênio, fotocatálise heterogênea na degradação de poluentes, conversão termoelétrica e em biomedicina, no que se refere a sistemas de entrega seletiva de fármacos, bioimageamento e como agente antimicrobiano. Possuímos uma rede de colaboração nacional com grandes centros de pesquisas nacionais (UNIFEI, UFLA, UFSJ, UFOP, UFSCAR, CDTN, UNICAMP e a USP. Contamos ainda com colaborações internacionais de grande porte em Valência na Espanha e em Keele na Inglaterra e no Paquistão. (Texto informado pelo autor)"
1693319153878178,Kátia Monteiro Novack,822,"Possui graduação em Licenciatura em Química pela Universidade do Estado do Rio de Janeiro (1997), graduação em Engenharia Química pela Universidade Federal Rural do Rio de Janeiro (1984), mestrado (1991) e doutorado (1997) em Ciência e Tecnologia de Polímeros pelo Instituto de Macromoléculas Professora Eloisa Mano (IMA) da Universidade Federal do Rio de Janeiro. Atualmente é Professora Titular da Universidade Federal de Ouro Preto e Docente Permanente do Programa de Pós-Graduação em Engenharia de Materiais (REDEMAT). Tem experiência na área de Química, com ênfase em Polímeros, atuando principalmente nos seguintes temas: biopolímeros, microesferas, biodegradação, propriedades térmicas, cristalinidade, reciclagem, compósitos, copolímeros graftizados e liberação controlada de fármacos. (Texto informado pelo autor)"
1775441236942704,Fernando Soares Lameiras,1062,"Possui graduação (bacharelado) em Física pela UFMG - Universidade Federal de Minas Gerais (1976), Especialização em Tecnologia Nuclear (UFMG/NUCLEBRÁS, 1978), mestrado em Ciências e Técnicas Nucleares (UFMG, 1982) e doutorado em Engenharia Metalúrgica e de Minas (UFMG, 1991). É pesquisador aposentado do CDTN - Centro de Desenvolvimento da Tecnologia Nuclear, da CNEN - Comissão Nacional de Energia Nuclear, onde iniciou suas atividades em 1977. É docente do Programa de Pós-Graduação em Ciência e Tecnologia das Radiações, Minerais e Materiais do CDTN (mestrado e doutorado). Atua na área de engenharia de materiais (combustível nuclear, materiais cerâmicos, beneficiamento de gemas). Desde 2005 está envolvido com utilização de rejeitos da mineração. Atualmente é Subcoordenador do Projeto Granioter, projeto de encomenda do MCTI e financiado pela Finep, focado em desenvolvimento tecnológico de minerais e materiais estratégicos (grafeno, nióbio, terras raras e lítio). É membro da Câmara de Arquitetura e Engenharias da Fapemig. (Texto informado pelo autor)"
1848076566428564,Rita de Castro Engler,1546,"Possui graduação em Engenharia Civil pela Universidade Federal de Minas Gerais (1985), mestrado em Engenharia de Produção pela Pontifícia Universidade Católica do Rio de Janeiro (1988) e especialização(DEA) e doutorado em Engenharia de Produção e Gestão de Inovação Tecnologica - Ecole Centrale Paris (1993), pós-doutorado em Design na UEMG(1994), pós-doutorado em Design Social na Ryerson University(2014). Foi bolsista de mestrado Na PUC/RJ, chargé des cours na Ecole des Mines de Paris, Bolsista de doutorado e pesquisadora na Ecole Centrale Paris, Coordenadora de Projetos no Centro de Pesquisas e Desenvolvimento da UEMG, Professora e Coordenadora do Mestrado em Gestão de Tecnologia do CEFET/RJ, criou e coordenou o Centro de Lideranças da BSP- Business School São Paulo, diretora e sócia da Eventail_ Produções & Eventos, atualmente é Professora concursada em Inovação e Design do programa de doutorado e mestrado em Design da UEMG, pesquisadora com bolsa de produtividade do CNPq, Professora convidada da University of Tennessee, CBU - Christian Brothers University, Middle Tennessee State University, Ryerson University, POLITO, CPUT- Cape Peninsula University of Technology e Stellenbosch University, UAL - University of Arts London, responsável no Brasil pelo Consorcio de Engineering Management, e coordenadora do CEDTec - Centro de Pesquisa e Desenvolvimento em Design e Tecnologia da UEMG, laboratório membro da Rede DESIS(rede Mundial de Inovação Social) e do LENS( Leraning network on sustainability). (Texto informado pelo autor)"
1995142616892313,Leonardo Barbosa Godefroid,1833,"Eu sou formado em Engenharia Metalúrgica pela Universidade Federal de Ouro Preto - UFOP (1980), Mestre em Ciência dos Materiais pelo Instituto Militar de Engenharia - IME (1983) e Doutor em Engenharia Metalúrgica e Materiais pela Universidade Federal do Rio de Janeiro - UFRJ (1993), Brasil. Eu trabalho na UFOP há mais de 40 anos e atualmente sou professor titular do Departamento de Engenharia Metalúrgica. Ocupei vários cargos administrativos na UFOP, incluindo Diretor da Escola de Minas. Tenho experiência na área de comportamento mecânico de materiais, trabalhando principalmente nos seguintes tópicos: fadiga, tenacidade à fratura, análise de falhas, aços para as indústrias automotiva, de dutos e do setor ferroviário, ligas de alumínio para aeronáutica. Eu sou fundador, com Luiz Cláudio Cândido e Willy Ank de Morais, do Grupo de Estudos sobre Fratura de Materiais - GesFraM (www.gesfram.wixsite.com/meusite). Fui co-responsável pelo Curso de Análise de Falhas da Associação Brasileira de Metalurgia - ABM, de 2001 a 2018. Fui coordenador do ''Seminário de Mecânica da Fratura e Integridade Estrutural'' na ABM, de 1995 a 2016. Fui coordenador do ''Structure -Properties Relationship of Advanced Metallic Materials Symposium'', SBPMAT, de 2009 a 2018. Eu atuo como revisor dos seguintes periódicos: International Journal of Fatigue, Materials Science Engineering A, Metallurgical Materials Transactions A, Engineering Failure Analysis, Journal of Materials Engineering and Performance, Journal of Materials Research Technology, Zeitschrift für Metallkunde, Materials Performance Characterization, Annals of Nuclear Energy, Materials Design, Inspeção e Soldagem, Materia. Fui membro da Sociedade Americana de Materiais (ASM, 1988-2024) e da Associação Brasileira de Metalurgia - ABM (1979-2019). (Texto informado pelo autor)"
