chave_capes,nome_publicado,fonte_grafia,lattes
ADILSON RODRIGUES DA COSTA,Adilson Rodrigues da Costa,LATTES,6267061426216241
ALAN BARROS DE OLIVEIRA,Alan Barros de Oliveira,SITE_DATA,2373454332205980
AMERICO TRISTAO BERNARDES,Américo Tristão Bernardes,SITE_DATA,1219153096910234
ANA PAULA MOREIRA BARBOZA,Ana Paula Moreira Barboza,SITE_DATA,4012812193989993
ANDERSON DIAS,Anderson Dias,CONFERIR,
ANDRE BARROS COTA,Andre Barros Cota,CONFERIR,
ANTONIO CLARET SOARES SABIONI,Antonio Claret Soares Sabioni,CONFERIR,
ANTONIO MARIA CLARET DE GOUVEIA,Antonio Maria Claret de Gouveia,LATTES,0919004072594619
ANTONIO VALADAO CARDOSO,Antônio Valadão Cardoso,SITE_DATA,4629729793297288
CARLOS ANTONIO DA SILVA,Carlos Antonio da Silva,LATTES,9071139796908984
CLAUDIO GOUVEA DOS SANTOS,Claudio Gouvea dos Santos,SITE_DATA,7624637352404779
CLAUDIO BATISTA VIEIRA,Cláudio Batista Vieira,LATTES,6864214843044820
DALILA CHAVES SICUPIRA,Dalila Chaves Sicupira,SITE_DATA,2402619959878318
DENISE CROCCE ROMANO ESPINOSA,Denise Crocce Romano Espinosa,LATTES,5363949257736410
ELIANE AYRES,Eliane Ayres,SITE_DATA,1370798140664840
FERNANDO GABRIEL DA SILVA ARAUJO,Fernando Gabriel da Silva Araújo,SITE_DATA,8915679278888857
FERNANDO SOARES LAMEIRAS,Fernando Soares Lameiras,LATTES,1775441236942704
GENIVALDO JULIO PERPETUO,Genivaldo Julio Perpetuo,CONFERIR,
GERALDO LUCIO DE FARIA,Geraldo Lúcio de Faria,SITE_DATA,0954824992144106
GILBERTO HENRIQUE TAVARES ALVARES DA SILVA,Gilberto Henrique Tavares Álvares da Silva,LATTES,3715416536248469
HELOISA NAZARE DOS SANTOS,Heloisa Nazaré dos Santos,SITE_DATA,7238982117122755
HUGO BONETTE DE CARVALHO,Hugo Bonette de Carvalho,SITE_DATA,1642083834158700
IVE SILVESTRE DE ALMEIDA,Ive Silvestre de Almeida,SITE_DATA,8756368667136851
JAIRO JOSE DRUMMOND CAMARA,Jairo Jose Drummond Camara,CONFERIR,
JOHNE JESUS MOL PEIXOTO,Johne Jesus Mol Peixoto,SITE_DATA,7172124269609011
JORGE ALBERTO SOARES TENORIO,Jorge Alberto Soares Tenorio,CONFERIR,
JOSE ROBERTO TAVARES BRANCO,Jose Roberto Tavares Branco,CONFERIR,
KATIA MONTEIRO NOVACK,Kátia Monteiro Novack,LATTES,1693319153878178
LEONARDO BARBOSA GODEFROID,Leonardo Barbosa Godefroid,SITE_DATA,1995142616892313
LUIZ CLAUDIO CANDIDO,Luiz Cláudio Cândido,LATTES,3404921714552476
MARCELO GOMES SPEZIALI,Marcelo Gomes Speziali,SITE_DATA,7307092459450276
MARGARETH SPANGLER ANDRADE,Margareth Spangler Andrade,CONFERIR,
MATHEUS JOSUE DE SOUZA MATOS,Matheus Josué de Souza Matos,SITE_DATA,6221953730638193
MILTON SERGIO FERNANDES DE LIMA,Milton Sergio Fernandes de Lima,LATTES,2656804839083572
NELCY DELLA SANTINA MOHALLEM,Nelcy Della Santina Mohallem,LATTES,4301721255586074
PATRICIA ALEJANDRA ROBLES DUTENHEFNER,Patricia Alejandra Robles Dutenhefner,CONFERIR,
PAULO SANTOS ASSIS,Paulo Santos Assis,SITE_DATA,7360474381329605
RITA DE CASTRO ENGLER,Rita de Castro Engler,SITE_DATA,1848076566428564
RODRIGO FERNANDO BIANCHI,Rodrigo Fernando Bianchi,SITE_DATA,0576192110271130
RODRIGO RANGEL PORCARO,Rodrigo Rangel Porcaro,SITE_DATA,3405298711596512
ROSA MARIA RABELO JUNQUEIRA,Rosa Maria Rabelo Junqueira,LATTES,6863995673467942
SEBASTIANA LUIZA BRAGANCA LANA,Sebastiana Luiza Bragança Lana,LATTES,0048231057293415
TAISE MATTE MANHABOSCO,Taíse Matte Manhabosco,SITE_DATA,9945942332231660
THIAGO CAZATI,Thiago Cazati,SITE_DATA,0873693558323059
VAGNER ROBERTO BOTARO,Vagner Roberto Botaro,LATTES,2907189124654066
VERSIANE ALBIS LEAO,Versiane Albis Leão,SITE_DATA,4062848906639188
VICTOR DE ANDRADE ALVARENGA OLIVEIRA,Víctor de Andrade Alvarenga Oliveira,SITE_DATA,9004123547060623
WALDEMAR AUGUSTO DE ALMEIDA MACEDO,Waldemar Augusto de Almeida Macedo,LATTES,7877747460307517
