artigos,codigo,periodico,citescore,percentil,quartil,categoria,rank,total_categoria,ano_metrica,fonte,consultado_em,conferido_por
22,TMMM,"Tecnologia em Metalurgia, Materiais e Mineração",,,,,,,,,,
8,BJD,Brazilian Journal of Development,,,,,,,,,,
5,RSD,"Research, Society and Development",,,,,,,,,,
5,RDCS,Revista de Derecho y Câmbio Social,,,,,,,,,,
3,RL,e-Revista LOGO,,,,,,,,,,
3,IP,IMPACT projects,,,,,,,,,,
3,CELE,CONCILIUM (ENGLISH LANGUAGE EDITION),,,,,,,,,,
3,ADHR,ARACÊ - DIREITOS HUMANOS EM REVISTA,,,,,,,,,,
2,URBGU,URBE. REVISTA BRASILEIRA DE GESTÃO URBANA,,,,,,,,,,
2,TMMMI,"TECNOLOGIA EM METALURGIA, MATERIAIS E MINERAÇÃO (IMPRESSO)",,,,,,,,,,
2,SJR,Southern Journal of Research,,,,,,,,,,
2,RT,Revista Transverso,,,,,,,,,,
2,RO,REVISTA OWL,,,,,,,,,,
2,RDTS,"REVISTA DE DESIGN, TECNOLOGIA E SOCIEDADE",,,,,,,,,,
2,MPEMR,Mineral Processing and Extractive Metallurgy Review,,,,,,,,,,
2,JTACO,Journal of Thermal Analysis and Calorimetry (Online),,,,,,,,,,
2,IJGET,"International Journal of geoscience, engineering and technology",,,,,,,,,,
2,CPLO,CADERNO PEDAGÓGICO (LAJEADO. ONLINE),,,,,,,,,,
2,CB,CONCILIUM (BRASIL),,,,,,,,,,
2,CA,Cadernos de Astronomia,,,,,,,,,,
2,AJMS,AMERICAN JOURNAL OF MATERIALS SCIENCE,,,,,,,,,,
1,V2,VÉRTICES,,,,,,,,,,
1,TAFM,THEORETICAL AND APPLIED FRACTURE MECHANICS,,,,,,,,,,
1,SN,Scientia Naturalis,,,,,,,,,,
1,SEJ,SSRN Electronic Journal,,,,,,,,,,
1,RRLAEC,RELACult - Revista Latino-Americana de Estudos em Cultura e Sociedade,,,,,,,,,,
1,RRCMOS,RCMOS - Revista Científica Multidisciplinar O Saber,,,,,,,,,,
1,RP,Revista Poliedro,,,,,,,,,,
1,RLMYM,REVISTA LATINOAMERICANA DE METALURGIA Y MATERIALES,,,,,,,,,,
1,RLAFD,revista latino americana de food design,,,,,,,,,,
1,RDOO,REVISTA D'OBRAS (ONLINE),,,,,,,,,,
1,RC,Results In Chemistry,,,,,,,,,,
1,RBI,Revista Brasileira de Inovação,,,,,,,,,,
1,RA,RGSA (ANPAD),,,,,,,,,,
1,PD2,Plural Design,,,,,,,,,,
1,PD,Pensamentos em Design,,,,,,,,,,
1,P2,PROJETICA,,,,,,,,,,
1,OFOAJ,Oceanography & Fisheries Open access Journal,,,,,,,,,,
1,N2,Nanomedicine,,,,,,,,,,
1,MST,MATERIALS SCIENCE AND TECHNOLOGY,,,,,,,,,,
1,MSO2,MIX SUSTENTÁVEL (ONLINE),,,,,,,,,,
1,MP,Modapalavra e-periódico,,,,,,,,,,
1,MCE,Materials Circular Economy,,,,,,,,,,
1,JMST,JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY,,,,,,,,,,
1,JETI,Journal of Experimental Techniques and Instrumentation,,,,,,,,,,
1,JES,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,,,,,,,,,,
1,JEESJ,"The Journal of Engineering and Exact Sciences ? jCEC,",,,,,,,,,,
1,JEES,The Journal of Engineering and Exact Sciences,,,,,,,,,,
1,IP2,Impact project,,,,,,,,,,
1,IJTP,International Journal of Theoretical Physics,,,,,,,,,,
1,IJPRT,INTERNATIONAL JOURNAL OF PEPTIDE RESEARCH AND THERAPEUTICS,,,,,,,,,,
1,IJMRE,International Journal of Mining Reclamation and Environment,,,,,,,,,,
1,IJMEE,INTERNATIONAL JOURNAL OF MECHANICAL ENGINEERING EDUCATION,,,,,,,,,,
1,IJH,International Journal of Hydrology,,,,,,,,,,
1,IJEST,International Journal of Environmental Science and Technology,,,,,,,,,,
1,IJERAI,INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH AND APPLICATIONS (IJERA),,,,,,,,,,
1,IJAERS,INTERNATIONAL JOURNAL OF ADVANCED ENGINEERING RESEARCH AND SCIENCE,,,,,,,,,,
1,HDO15R,https://doi.org/10.51189/rema/1286,,,,,,,,,,
1,HDO13A,https://doi.org/10.35572/arql.v3i11.6610,,,,,,,,,,
1,HDO12S2,https://doi.org/10.20021/sjr.v3i2.66,,,,,,,,,,
1,HDO12S,https://doi.org/10.20021/sjr.v1i2.32,,,,,,,,,,
1,HDO122,https://doi.org/10.29183/2447-3073.MIX2025.v11.n1.17-28,,,,,,,,,,
1,GSPO,GEOCIÊNCIAS (SÃO PAULO. ONLINE),,,,,,,,,,
1,GJRE,GLOBAL JOURNAL OF RESEARCHES IN ENGINEERING,,,,,,,,,,
1,FI,Frontiers in Imaging,,,,,,,,,,
1,FAM,Food Analytical Methods,,,,,,,,,,
1,EJC,EUROPEAN JOURNAL OF CHEMISTRY,,,,,,,,,,
1,D,DAPESQUISA,,,,,,,,,,
1,CT,COLORATION TECHNOLOGY,,,,,,,,,,
1,CSPEA,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,,,,,,,,,,
1,CPL,CHEMICAL PHYSICS LETTERS,,,,,,,,,,
1,CLCS,CONTRIBUCIONES A LAS CIENCIAS SOCIALES,,,,,,,,,,
1,CCO,CONEXÃO CIÊNCIA (ONLINE),,,,,,,,,,
1,CAUO,CADERNOS DE ARQUITETURA E URBANISMO (ONLINE),,,,,,,,,,
1,C,CONJECTURAS,,,,,,,,,,
1,BTER,BIOLOGICAL TRACE ELEMENT RESEARCH,,,,,,,,,,
1,BRAC,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,,,,,,,,,,
1,BOJ,Biodiversity Online Journal,,,,,,,,,,
1,BJCE,BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING,,,,,,,,,,
1,BJAER,Brazilian Journal of Animal and Environmental Research,,,,,,,,,,
1,BIDO,BIOLOGICAL INVASIONS (DORDRECHT. ONLINE),,,,,,,,,,
1,BEJ,BIOCHEMICAL ENGINEERING JOURNAL,,,,,,,,,,
1,ANM,ACS Nano Medicine,,,,,,,,,,
1,ABB,Acta Biologica Brasiliensia,,,,,,,,,,
